"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Celltype","Comparison","Description_title_case","GOPathways"
"11","BP","GO:0002218","activation of innate immune response","62/2342","262/15618",0.236641221374046,1.57807967353537,3.96330889100076,0.000128060294999426,0.00460749749883959,0.00386502771598647,"Ikbke/Rab7b/Ifi204/Ifi203/Traf3ip3/Tnfaip3/Appl2/Irak3/Havcr2/Irgm2/Igtp/Cd300lf/Rsad2/Irf4/Syk/Tifab/Pik3r1/Lacc1/Trim15/Unc93b1/Slc15a3/Pik3ap1/Fcna/Ifih1/Usp50/Lbp/Tlr2/Alpk1/Tifa/Gbp5/Gbp7/Gbp2/Tlr4/Trim32/Tlr1/Tlr6/P2rx7/Lrch4/Cav1/Tril/Clec7a/Kcnj8/Trim5/Trim12a/Trim30a/Tlr3/Ddx60/Casp1/Nlrx1/Sin3a/Tlr8/Tlr7/Nlrp3/Nlrp1b/Ticam1/Nlrc4/Oas1c/Oas1b/Oas1a/Irf7/Tlr9/Btk",62,"negative vs positive","negative","positive","Activation Of Innate Immune Response","Activation
Of Innate
Immune
Response"
"12","BP","GO:0002237","response to molecule of bacterial origin","75/2342","305/15618",0.245901639344262,1.63983424563565,4.73964580595163,6.36562540993485e-06,0.000403297734304983,0.000338308793716304,"Arid5a/Fzd5/Slc11a1/Ncl/Tnfrsf11a/Cdc73/Ncf2/Fmo1/Fcgr2b/Cd84/Dusp10/Tnfaip3/Gja1/Tbxa2r/Irak3/Havcr2/Irgm2/Igtp/Rara/Mir381/Tifab/Cd180/Gch1/Gjb2/Extl3/Irak4/Cldn1/Vim/Itgav/Spi1/Il1a/Sirpa/E2f1/Lbp/Slpi/Tlr2/Hmgcs2/Gbp5/Gbp2/Cnr1/Tlr4/Ptafr/Alpl/Tnfrsf1b/Spon2/Tlr1/Tlr6/Cxcl10/Ptpn11/P2rx7/Irf5/Nr2c2/Adipor2/Ptpn6/Kcnj8/C5ar1/Zfp36/Trim5/Trim12a/Trim30a/Adm/Ptger1/Irf8/Casp1/Il10ra/Ccr5/Ldoc1/Nlrp3/Ticam1/Il12a/Pf4/Acp5/Smad6/Tlr9/Btk",75,"negative vs positive","negative","positive","Response To Molecule Of Bacterial Origin","Response
To
Molecule
Of
Bacterial
Origin"
"13","BP","GO:0002250","adaptive immune response","88/2342","350/15618",0.251428571428571,1.67669147248994,5.37764685140982,3.74342412914747e-07,5.33625109609972e-05,4.47634716917003e-05,"Arid5a/Fzd5/Slc11a1/Inpp5d/Tnfrsf11a/Pla2g4a/Fcgr2b/Ly9/Cd84/Dusp10/Tnfaip3/Arg1/Prdm1/Vsir/Icosl/Myo1g/Havcr2/Tnfsf13/Tmem98/Slfn2/Cd79b/Unc13d/Foxj1/Rsad2/Irf4/Syk/Ptk2b/Csf2rb/Tnfrsf13c/Nckap1l/Emp2/Klhl6/Samsn1/Tap1/Ager/Vegfa/Unc93b1/Clcf1/Mpeg1/Anxa1/Fas/Prkcq/Traf2/Dpp4/Sla2/Ada/Il6ra/Otud7b/Fcgr1/Ifnk/Tnfrsf1b/Fgl2/Tec/P2rx7/Lat2/C1s1/Ptpn6/Cd4/Lag3/Clec7a/Kcnj8/Cd79a/Hpx/Swap70/Pagr1a/Fcer2a/Il12rb1/Exosc6/Icam1/Jam3/Rora/Il13ra2/Pdcd1/Il23a/Nlrp3/Il31ra/Il7r/Il2rb/H2-Q6/Il12a/Pf4/Gimap3/Pirb/Irf7/Cd3g/Gcnt3/Ccr2/Btk",88,"negative vs positive","negative","positive","Adaptive Immune Response","Adaptive
Immune
Response"
"14","BP","GO:0002253","activation of immune response","95/2342","441/15618",0.215419501133787,1.43655925222352,3.9059632533157,0.000122616512691037,0.00445324430168339,0.00373563146944734,"Ikbke/Rab7b/Ifi204/Ifi203/Traf3ip3/Tnfaip3/Icosl/Appl2/Irak3/Myo1g/Havcr2/Irgm2/Igtp/Cd79b/Cd300lf/Rsad2/Prkch/Btn2a2/Irf4/Syk/Tifab/Pik3r1/Lgals3/Lacc1/Nfam1/Nckap1l/Klhl6/Ezr/Cfb/Trim15/Mog/Unc93b1/Slc15a3/Lpxn/Blnk/Pik3ap1/Fcna/Ifih1/Usp50/Sla2/Lbp/Ada/Tlr2/Alpk1/Tifa/Gbp5/Gbp7/Gbp2/Tlr4/Trim32/Themis2/Tlr1/Tlr6/Tec/Cmklr1/P2rx7/Lat2/Lrch4/Cav1/Tril/A2m/C1s1/Ptpn6/Clec7a/Kcnj8/C5ar2/C5ar1/Kcnn4/Cd79a/Trim5/Trim12a/Trim30a/Itgam/Fcer2a/Tlr3/Ddx60/Casp1/Nlrx1/Sin3a/Cd276/Tlr8/Tlr7/Tespa1/Lcp2/Nlrp3/Nlrp1b/Ticam1/Nlrc4/Oas1c/Oas1b/Oas1a/Cd22/Irf7/Tlr9/Btk",95,"negative vs positive","negative","positive","Activation Of Immune Response","Activation
Of Immune
Response"
"15","BP","GO:0002263","cell activation involved in immune response","71/2342","245/15618",0.289795918367347,1.93255023614911,6.17923331584942,1.32730634172576e-08,5.7387716840333e-06,4.81400404885586e-06,"Slc11a1/Ly9/Cd84/Tnfaip3/Enpp3/Itgb2/Icosl/Dock2/Havcr2/Adora2b/Tnfsf13/Tmem98/Slfn2/Rara/Crhr1/Unc13d/Irf4/Syk/Cplx2/Cd180/Ptgdr/Lgals3/Ptk2b/Rac2/Mfng/Nckap1l/Clcf1/Anxa1/Apbb1ip/Ptgds/Stxbp1/Spi1/Mdk/Rag2/Lbp/Ada/Il6ra/Notch2/Adora3/Ifnk/Tlr4/Ptafr/Fgr/Nppa/Fgl2/Lat2/Lfng/Ptpn6/Clec7a/Pglyrp1/Nkg7/Sphk2/Fes/Swap70/Scnn1b/Pagr1a/Itgam/Exosc6/Irf8/Icam1/Cbl/Rora/Il13ra2/Il23a/Nlrp3/H2-DMb2/Ticam1/Pf4/Itgal/Ccr2/Btk",71,"negative vs positive","negative","positive","Cell Activation Involved In Immune Response","Cell
Activation
Involved
In Immune
Response"
"16","BP","GO:0002274","myeloid leukocyte activation","67/2342","216/15618",0.310185185185185,2.06851930923237,6.64170098521764,1.62620481523533e-09,1.32465997949598e-06,1.11119920006456e-06,"Slc11a1/Pla2g4a/Cd48/Cd84/Enpp3/Itgb2/Dock2/Havcr2/Adora2b/Crhr1/Cd300lf/Unc13d/Irf4/Syk/Cplx2/Ptgdr/Rac2/Ager/Adgrf5/Tslp/Csf1r/Anxa1/Calhm2/Ptgds/Stxbp1/Spi1/Lbp/Tlr2/Notch2/Adora3/Cnr1/Tlr4/Ptafr/Fgr/Pla2g5/Nppa/Tlr1/Tlr6/Rhoh/Lat2/Ptpn6/Kcnj8/C5ar1/Kcnn4/Cd37/Sphk2/Fes/Scnn1b/Itgam/Tspan32/Fcer2a/Tlr3/Casp1/Cbl/Rora/Adam10/Il13ra2/Lcp2/Ticam1/Itgb6/Gimap3/Pirb/Cebpa/Il15/Tlr9/Ccr2/Btk",67,"negative vs positive","negative","positive","Myeloid Leukocyte Activation","Myeloid
Leukocyte
Activation"
"17","BP","GO:0002275","myeloid cell activation involved in immune response","31/2342","87/15618",0.35632183908046,2.37618893371418,5.40625599451208,1.52223094458589e-06,0.00016376907256658,0.000137378697362429,"Cd84/Enpp3/Itgb2/Dock2/Havcr2/Adora2b/Crhr1/Unc13d/Syk/Cplx2/Ptgdr/Rac2/Ptgds/Stxbp1/Spi1/Lbp/Adora3/Ptafr/Fgr/Nppa/Lat2/Ptpn6/Sphk2/Fes/Scnn1b/Itgam/Cbl/Il13ra2/Ticam1/Ccr2/Btk",31,"negative vs positive","negative","positive","Myeloid Cell Activation Involved In Immune Response","Myeloid
Cell
Activation
Involved
In Immune
Response"
"18","BP","GO:0002279","mast cell activation involved in immune response","21/2342","51/15618",0.411764705882353,2.74591852112322,5.24523832879436,5.43078842444823e-06,0.000364310065837692,0.000305603747377,"Cd84/Enpp3/Adora2b/Crhr1/Unc13d/Syk/Cplx2/Ptgdr/Rac2/Ptgds/Stxbp1/Adora3/Fgr/Nppa/Lat2/Ptpn6/Sphk2/Fes/Cbl/Il13ra2/Btk",21,"negative vs positive","negative","positive","Mast Cell Activation Involved In Immune Response","Mast Cell
Activation
Involved
In Immune
Response"
"19","BP","GO:0002285","lymphocyte activation involved in immune response","43/2342","167/15618",0.25748502994012,1.7170799306596,3.91296655382998,0.000193706136348856,0.00627563857648395,0.00526435815531819,"Slc11a1/Ly9/Tnfaip3/Icosl/Havcr2/Tnfsf13/Tmem98/Slfn2/Rara/Unc13d/Irf4/Cd180/Lgals3/Ptk2b/Mfng/Nckap1l/Clcf1/Anxa1/Apbb1ip/Spi1/Mdk/Rag2/Ada/Il6ra/Notch2/Ifnk/Tlr4/Fgl2/Lfng/Pglyrp1/Nkg7/Swap70/Pagr1a/Exosc6/Irf8/Icam1/Rora/Il23a/Nlrp3/H2-DMb2/Pf4/Itgal/Ccr2",43,"negative vs positive","negative","positive","Lymphocyte Activation Involved In Immune Response","Lymphocyte
Activation
Involved
In Immune
Response"
"20","BP","GO:0002366","leukocyte activation involved in immune response","71/2342","242/15618",0.293388429752066,1.95650747048154,6.29843994509636,7.55004980354534e-09,3.58753199831796e-06,3.00942336029035e-06,"Slc11a1/Ly9/Cd84/Tnfaip3/Enpp3/Itgb2/Icosl/Dock2/Havcr2/Adora2b/Tnfsf13/Tmem98/Slfn2/Rara/Crhr1/Unc13d/Irf4/Syk/Cplx2/Cd180/Ptgdr/Lgals3/Ptk2b/Rac2/Mfng/Nckap1l/Clcf1/Anxa1/Apbb1ip/Ptgds/Stxbp1/Spi1/Mdk/Rag2/Lbp/Ada/Il6ra/Notch2/Adora3/Ifnk/Tlr4/Ptafr/Fgr/Nppa/Fgl2/Lat2/Lfng/Ptpn6/Clec7a/Pglyrp1/Nkg7/Sphk2/Fes/Swap70/Scnn1b/Pagr1a/Itgam/Exosc6/Irf8/Icam1/Cbl/Rora/Il13ra2/Il23a/Nlrp3/H2-DMb2/Ticam1/Pf4/Itgal/Ccr2/Btk",71,"negative vs positive","negative","positive","Leukocyte Activation Involved In Immune Response","Leukocyte
Activation
Involved
In Immune
Response"
