"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","Comparison"
"Lsm7|Lsm7",423.664289947359,1.97213762917438,0.719930248185063,2.73934542151288,0.00615616563289692,0.0188099481735986,"Lsm7","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated","66094","CGRP vs nonCGRP"
"BC024063|BC024063",186.077485800931,2.00095696295924,0.819392821510989,2.44199962512413,0.0146061617911623,0.0387224878731896,"BC024063","cDNA sequence BC024063","666584","CGRP vs nonCGRP"
"Hsp90b1|Hsp90b1",27230.3241838259,1.73182352562309,0.608609092689408,2.84554329934551,0.00443357313331351,0.0143039316106574,"Hsp90b1","heat shock protein 90, beta (Grp94), member 1","22027","CGRP vs nonCGRP"
"Ikbip|Ikbip",1079.50709897681,1.76933167443651,0.717679544197745,2.46535057149267,0.0136879255023249,0.036715574680953,"Ikbip","IKBKB interacting protein","67454","CGRP vs nonCGRP"
"Snrpf|Snrpf",135.910506627986,2.12733522059554,0.680130806920026,3.12783246832942,0.00176100527006292,0.00648355818068375,"Snrpf","small nuclear ribonucleoprotein polypeptide F","69878","CGRP vs nonCGRP"
"Ndufa12|Ndufa12",1171.5943249993,2.28797656718379,0.793343082933211,2.88396863400447,0.00392697864972467,0.0129121514714774,"Ndufa12","NADH:ubiquinone oxidoreductase subunit A12","66414","CGRP vs nonCGRP"
"Mrpl42|Mrpl42",743.43409633062,1.56379310371721,0.5547114805097,2.81911076057107,0.00481568977726222,0.0153259074341285,"Mrpl42","mitochondrial ribosomal protein L42","67270","CGRP vs nonCGRP"
"Atp2b1|Atp2b1",21709.5607225529,1.56155604816773,0.622256999123473,2.50950338906172,0.0120901055471779,0.0331504451142542,"Atp2b1","ATPase, Ca++ transporting, plasma membrane 1","67972","CGRP vs nonCGRP"
"Nts|Nts",1472.58652046306,4.72719322102401,1.59664599997674,2.96070213503362,0.00306938632603549,0.0104182152348121,"Nts","neurotensin","67405","CGRP vs nonCGRP"
"Mgat4c|Mgat4c",2150.26938967251,2.89770242694926,0.583343674181412,4.96740181680295,6.78558940447298e-07,6.0599695925599e-06,"Mgat4c","MGAT4 family, member C","67569","CGRP vs nonCGRP"
"Lgr5|Lgr5",900.684906764488,2.21903582430796,0.834007328720002,2.66069103698841,0.00779804763198995,0.0229617229329554,"Lgr5","leucine rich repeat containing G protein coupled receptor 5","14160","CGRP vs nonCGRP"
"Slc35e3|Slc35e3",735.170901646452,2.28255016835658,0.551955746018259,4.13538618779244,3.54358205406413e-05,0.000214983572025569,"Slc35e3","solute carrier family 35, member E3","215436","CGRP vs nonCGRP"
"Tmbim4|Tmbim4",2150.46048705388,1.82123957227961,0.663569475897221,2.74461023062745,0.00605828045430959,0.0185714554679572,"Tmbim4","transmembrane BAX inhibitor motif containing 4","68212","CGRP vs nonCGRP"
"Cnpy2|Cnpy2",1633.44600653425,2.02096472968981,0.652921335300685,3.09526526462657,0.00196636949925437,0.00712792632916794,"Cnpy2","canopy FGF signaling regulator 2","56530","CGRP vs nonCGRP"
"Sarnp|Sarnp",926.68243030303,1.59077455116727,0.651429466164509,2.44197512362073,0.0146071531209256,0.0387224878731896,"Sarnp","SAP domain containing ribonucleoprotein","66118","CGRP vs nonCGRP"
"Sec61g|Sec61g",130.708295024103,1.80661441522495,0.706254408947328,2.55802214094169,0.0105269389551288,0.0295646842001797,"Sec61g","SEC61 translocon subunit gamma","20335","CGRP vs nonCGRP"
"Vstm2a|Vstm2a",6999.4302863763,1.87058816783633,0.448583769870561,4.16998628455972,3.04617970990273e-05,0.00018762463546525,"Vstm2a","V-set and transmembrane domain containing 2A","211739","CGRP vs nonCGRP"
"Actr2|Actr2",3494.14691979151,1.66776653460265,0.48280269574306,3.45434387443895,0.000551633509101193,0.00238629257758473,"Actr2","actin related protein 2","66713","CGRP vs nonCGRP"
"Tmem17|Tmem17",668.200414736257,2.64047226834296,0.670329445499651,3.93906650837158,8.17992544065146e-05,0.000450980912643235,"Tmem17","transmembrane protein 17","103765","CGRP vs nonCGRP"
"LOC108167890|LOC108167890",66.0050771745507,3.39162242383241,0.868111663284673,3.9068965056863,9.34891727877497e-05,0.000506578739590038,"LOC108167890",NA,NA,"CGRP vs nonCGRP"
"B3gnt2|B3gnt2",1097.86747610123,2.19719752523645,0.570283749090059,3.8528145484459,0.000116767829235291,0.000617972665228537,"B3gnt2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","53625","CGRP vs nonCGRP"
"Commd1|Commd1",324.486783914333,1.78258136532573,0.456052577343787,3.90871898084234,9.27868198386605e-05,0.000503207909748861,"Commd1","COMM domain containing 1","17846","CGRP vs nonCGRP"
"Xpo1|Xpo1",4404.73517041892,1.51364511788931,0.467783967342312,3.23577810177849,0.00121311649045345,0.00470871120060522,"Xpo1","exportin 1","103573","CGRP vs nonCGRP"
"Gm12060|Gm12060",64.0984169898425,2.18806767521374,0.828923593720075,2.63964941013929,0.00829918319038058,0.02422270452917,"Gm12060",NA,NA,"CGRP vs nonCGRP"
"Gm39705|Gm39705",53.5089165124913,2.13583550428152,0.663014101620378,3.22140283149579,0.00127564710405669,0.00491163470096804,"Gm39705","predicted gene, 39705","105244013","CGRP vs nonCGRP"
"Gabrg2|Gabrg2",11610.2619287449,1.96983891033359,0.597606451578761,3.29621426463797,0.000979972442686764,0.00391134681066939,"Gabrg2","gamma-aminobutyric acid type A receptor, subunit gamma 2","14406","CGRP vs nonCGRP"
"Gm12191|Gm12191",25.3442933825249,2.87907124598276,0.778713884244184,3.69721319246436,0.000217979273833026,0.00106776675672416,"Gm12191","ribosomal protein L30 pseudogene","666899","CGRP vs nonCGRP"
"Canx|Canx",40845.0904592564,2.58127586094544,0.857307968968922,3.01090851173345,0.00260467318712836,0.00903613784011188,"Canx","calnexin","12330","CGRP vs nonCGRP"
"P4ha2|P4ha2",1537.07273109939,1.98796081502682,0.461562812499084,4.30702119233396,1.65467762456287e-05,0.000109057335568998,"P4ha2","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide","18452","CGRP vs nonCGRP"
"Gpx3|Gpx3",3020.25310123365,2.97261338058225,1.03959958021934,2.85938301355901,0.00424465946086022,0.0137894542529333,"Gpx3","glutathione peroxidase 3","14778","CGRP vs nonCGRP"
"Gm16062|Gm16062",83.5593237724198,2.00436450967494,0.300630565617005,6.66720133916272,2.60727307368425e-11,4.99234638820786e-10,"Gm16062","predicted gene 16062","100504104","CGRP vs nonCGRP"
"Dhrs7b|Dhrs7b",1144.17558749689,1.89442203198522,0.687612731856117,2.75507119664799,0.00586793650831748,0.0180578186528551,"Dhrs7b","dehydrogenase/reductase 7B","216820","CGRP vs nonCGRP"
"Tvp23b|Tvp23b",2185.25788580142,2.53139107385759,0.686751384207105,3.68603709008935,0.000227773169856238,0.00110705605533099,"Tvp23b","trans-golgi network vesicle protein 23B","67510","CGRP vs nonCGRP"
"Rpl26|Rpl26",417.766607073797,1.56373545399202,0.622938290381256,2.51025740131493,0.0120643186218654,0.033096496553521,"Rpl26","ribosomal protein L26","19941","CGRP vs nonCGRP"
