	PBN1-ML02-D	PBN1-ML02-G	PBN1-ML04-D	PBN1-ML04-G	PBN2-FM01-D	PBN2-FM01-G	PBN2-FM02-D	PBN2-FM02-G	SRR1647854	SRR1647855	SRR1647856	SRR1647857	SRR1647858	SRR1647859	SRR6294443	SRR6294444
Sox17|Sox17	117	0	36	0	86	0	195	0	0	0	2	2	0	2	0	0
Mrpl15|Mrpl15	1587	1075	1145	3195	2127	2332	2126	5317	142	171	246	494	410	278	1984	1453
Xkr4|Xkr4	1784	3366	1795	3204	1924	7356	1615	2158	754	1113	2164	3822	2674	1665	1009	1503
Gm39585|Gm39585	5583	3701	5556	6596	4098	1719	2576	9128	1012	1094	2801	2597	3036	2367	975	1228
Lypla1|Lypla1	648	408	655	1194	1210	4	1144	0	25	36	55	86	75	60	2278	1866
Gm39587|Gm39587	4	0	59	0	14	55	5	0	0	0	0	0	2	0	1	0
Tcea1|Tcea1	1628	1182	1344	2819	2207	2913	2154	2167	22	27	22	57	73	53	1832	1486
Rgs20|Rgs20	479	0	164	411	643	1645	403	0	49	46	17	53	83	58	763	743
Gm16041|Gm16041	0	0	61	0	80	0	41	0	63	52	10	17	52	52	0	76
Npbwr1|Npbwr1	127	670	257	0	164	0	117	0	10	10	0	1	2	1	667	801
LOC108167788|LOC108167788	3	0	2	0	21	0	0	0	4	2	0	0	0	0	4	17
Oprk1|Oprk1	1089	1121	864	1680	909	7914	1248	5074	60	62	3	8	56	34	7034	8826
Atp6v1h|Atp6v1h	6275	8883	3396	8352	6655	10452	6778	23792	239	249	268	483	573	465	14238	12666
Rb1cc1|Rb1cc1	6841	5116	6057	17888	12458	9129	9661	16272	565	707	556	999	1261	853	2473	2457
4732440D04Rik|4732440D04Rik	2000	3495	1546	3198	3154	2174	3661	4376	160	206	214	335	346	242	1212	1509
Gm26901|Gm26901	88	422	24	0	70	0	78	339	76	71	96	91	699	453	72	64
St18|St18	5078	61	3970	1559	10082	0	8837	43	7	14	0	11	86	94	58	293
Pcmtd1|Pcmtd1	4201	3842	3719	8321	5804	5794	5639	5135	347	340	296	556	551	446	2571	2567
Rrs1|Rrs1	441	0	489	538	458	0	665	3197	7	5	12	25	12	18	134	77
Adhfe1|Adhfe1	516	6	100	0	599	0	422	437	17	14	35	65	17	31	175	146
2610203C22Rik|2610203C22Rik	13	0	103	0	52	0	30	0	26	36	19	20	9	6	14	0
3110035E14Rik|3110035E14Rik	227	40	544	31	436	0	315	66	868	878	107	264	319	218	344	136
Sntg1|Sntg1	757	1700	487	2777	685	3628	851	1028	521	530	824	1294	2429	1586	1793	1871
Mybl1|Mybl1	241	626	223	750	529	2466	182	0	17	17	54	76	104	52	108	230
Vcpip1|Vcpip1	3843	3141	3467	5420	5370	2333	5774	12753	456	478	518	985	759	600	4358	3423
1700034P13Rik|1700034P13Rik	9	13	22	24	54	21	55	40	1	0	2	4	3	0	7	2
Cpa6|Cpa6	183	0	44	892	57	0	0	0	8	7	0	0	4	0	0	0
Mcmdc2|Mcmdc2	431	70	259	2665	567	190	448	2599	104	88	81	111	40	107	215	260
Tcf24|Tcf24	0	0	0	0	0	0	0	0	2	9	6	8	0	4	0	39
Ppp1r42|Ppp1r42	91	0	20	0	44	0	64	0	11	12	6	9	18	10	0	8
Cspp1|Cspp1	3459	2879	3802	7625	4725	3559	3951	2962	562	685	574	690	894	727	1421	1534
Sgk3|Sgk3	780	422	752	268	951	1121	1030	0	137	139	50	72	66	54	112	93
Snhg6|Snhg6	501	1008	380	1565	246	193	221	615	10	12	12	30	38	27	195	150
Snord87|Snord87	41	33	29	32	16	0	14	84	2	1	2	1	2	2	3	2
Cops5|Cops5	1520	2532	999	3444	1640	544	1355	3887	152	185	159	342	475	303	3489	3381
Arfgef1|Arfgef1	2312	1994	1856	1861	3068	1756	2246	6085	591	680	663	1328	1341	940	2068	2245
Prex2|Prex2	761	336	1018	486	1335	45	1036	2243	54	87	25	84	127	90	8	106
Gm30898|Gm30898	0	286	65	485	55	0	44	0	49	71	72	77	66	107	34	12
Sulf1|Sulf1	1060	176	773	2177	1355	0	1872	0	88	124	0	9	22	15	1245	1691
Slco5a1|Slco5a1	241	0	109	179	261	0	280	0	58	51	93	119	167	142	249	113
A830018L16Rik|A830018L16Rik	1103	1495	1120	2909	643	2648	717	4942	398	494	418	725	726	678	580	464
Ncoa2|Ncoa2	530	177	1595	2196	2424	0	2864	127	952	998	1003	1945	1848	1221	2717	1951
Lactb2|Lactb2	429	1104	526	148	794	0	762	0	88	127	198	318	240	127	2222	2024
Eya1|Eya1	270	120	110	0	204	0	154	0	19	25	124	201	49	33	183	256
Tram1|Tram1	7120	4046	5409	8458	10056	20678	11538	43145	85	81	157	272	349	270	3293	1933
Terf1|Terf1	1978	709	1668	4139	2766	2817	2153	4034	100	82	94	113	187	141	1151	1219
Sbspon|Sbspon	187	293	139	796	238	0	85	0	43	62	26	26	92	62	76	34
Kcnb2|Kcnb2	1732	3578	1196	1700	2009	1613	2641	6597	586	597	123	330	2086	1406	1309	1498
Rdh10|Rdh10	660	320	512	132	1151	0	1529	0	43	28	39	70	62	60	162	229
Rpl7|Rpl7	2109	1350	972	4619	1946	2543	1723	4397	18	18	25	41	60	44	2222	1883
Stau2|Stau2	2490	1208	2108	4149	2356	1454	1581	7959	440	542	593	1099	1336	999	3484	3219
LOC102634042|LOC102634042	11	0	18	0	22	0	23	0	5	9	19	21	24	26	3	26
Ube2w|Ube2w	3465	825	2148	2447	3792	2107	2389	4823	350	422	420	535	897	648	3185	3039
LOC108167614|LOC108167614	348	24	560	351	920	1976	592	0	310	372	446	495	579	406	142	101
Tceb1|Tceb1	1616	1722	1486	4233	3049	0	2107	6172	112	104	88	185	327	230	3091	3708
Ly96|Ly96	104	39	103	0	115	0	102	357	0	4	23	27	19	11	141	143
Tmem70|Tmem70	2528	2712	1367	2938	2342	1805	2466	7162	42	33	48	123	148	99	1581	614
LOC108167615|LOC108167615	0	0	48	0	51	0	157	0	14	13	2	5	20	17	0	0
Gm28783|Gm28783	0	0	0	0	19	0	65	0	15	17	2	0	16	12	0	0
Jph1|Jph1	1438	0	962	0	3016	0	2790	0	281	304	55	110	250	133	328	394
Gm28154|Gm28154	2	0	0	82	0	0	20	0	6	6	22	25	41	45	11	63
Pi15|Pi15	77	347	23	0	17	0	35	0	6	0	16	14	23	19	39	50
Gdap1|Gdap1	5433	6599	4610	9337	5783	4969	4853	5837	352	453	371	733	1122	829	6448	5566
Gm28784|Gm28784	0	0	3	60	74	0	0	0	12	19	19	40	62	58	8	4
Tfap2d|Tfap2d	386	0	350	0	83	292	0	0	7	11	0	0	0	0	8	0
Tfap2b|Tfap2b	1150	1113	603	6012	812	4404	726	5391	0	0	2	3	0	0	37	0
Crispld1|Crispld1	252	0	166	0	293	2413	243	588	38	38	28	34	27	36	133	55
Gm16070|Gm16070	25	0	15	0	11	33	30	0	5	0	14	0	11	15	22	30
Gm28153|Gm28153	76	99	66	0	29	0	16	0	3	4	8	10	16	10	18	20
Mcm3|Mcm3	22	0	114	0	47	0	44	0	0	4	0	6	0	0	34	0
Tram2|Tram2	0	0	0	0	21	0	37	0	3	0	16	28	11	12	11	0
6720483E21Rik|6720483E21Rik	81	203	114	940	109	0	172	0	0	6	7	16	16	13	194	215
Paqr8|Paqr8	5456	1864	5269	1100	11784	1620	13345	3361	200	179	199	513	572	359	2314	2017
Gm28836|Gm28836	17	0	36	0	18	0	37	0	3	4	0	5	5	4	12	10
Gsta3|Gsta3	74	426	84	75	153	0	46	0	39	45	38	64	84	65	328	225
Tmem14a|Tmem14a	1186	415	937	3256	1220	1949	1274	3869	92	74	32	86	103	74	1208	1170
Gm32947|Gm32947	22	0	48	7	33	0	46	0	5	7	8	11	10	9	17	8
Kcnq5|Kcnq5	206	125	362	1216	347	0	569	0	760	1006	289	785	1400	1028	185	180
Ogfrl1|Ogfrl1	1975	1737	1346	5900	2350	2544	1553	1201	314	445	217	617	648	491	771	1197
Rims1|Rims1	2278	700	1890	1860	5073	1295	3278	3	856	890	806	1185	1243	866	1072	768
Sdhaf4|Sdhaf4	354	725	279	1027	277	703	311	872	15	6	18	41	56	29	978	959
Smap1|Smap1	547	766	415	628	992	470	522	103	265	289	240	496	465	354	647	710
B3gat2|B3gat2	760	1665	725	1316	1705	1723	1451	0	203	225	155	345	308	270	309	217
Col9a1|Col9a1	0	0	119	0	142	0	245	0	4	5	10	9	0	0	0	27
Fam135a|Fam135a	2059	2858	1929	5780	3644	521	2601	2398	361	485	621	972	1092	714	2171	1589
Col19a1|Col19a1	2161	108	2193	3558	6976	0	6845	0	366	431	2656	3383	1347	836	450	358
Lmbrd1|Lmbrd1	25753	22795	17592	29394	39051	25657	40778	54937	629	795	625	1188	1260	951	10195	10865
LOC108167844|LOC108167844	132	0	81	106	367	0	186	0	74	83	316	476	168	115	50	10
Gm7846|Gm7846	3	6	12	2	2	0	9	0	0	0	0	0	0	0	15	12
Gm597|Gm597	99	0	43	0	65	0	14	0	0	0	0	0	0	0	0	0
LOC108167331|LOC108167331	25	0	13	0	4	0	18	0	0	0	0	0	0	0	0	0
Phf3|Phf3	1343	755	1396	4391	2414	750	1912	0	784	923	657	1230	1576	1195	1252	1251
Adgrb3|Adgrb3	6139	3786	5187	6744	13005	12478	10545	11837	1763	1930	3120	3792	4207	3231	3561	4285
Gm20172|Gm20172	331	112	302	0	171	0	64	1	20	21	47	31	68	44	55	18
Ptp4a1|Ptp4a1	1780	644	1178	2384	1831	943	1583	5174	32	25	25	56	99	66	632	431
Bag2|Bag2	343	255	48	0	338	171	455	2089	22	31	47	52	71	69	675	754
Gm32229|Gm32229	30	36	14	57	23	0	5	0	0	0	0	0	0	0	8	0
Rab23|Rab23	675	152	939	549	1613	3364	1453	535	164	214	176	299	373	286	1220	562
Prim2|Prim2	188	203	170	700	231	783	252	139	58	54	49	63	91	59	223	161
Gm39618|Gm39618	0	0	0	0	0	0	0	0	13	10	18	18	21	8	6	0
1700001G17Rik|1700001G17Rik	199	0	82	511	496	0	391	111	5	6	7	7	11	13	37	28
Khdrbs2|Khdrbs2	1116	530	1022	2359	773	472	754	2100	174	194	19	46	53	46	1208	1003
Gm9839|Gm9839	21	3	15	0	30	0	0	0	26	27	2	5	13	10	0	0
Gm5415|Gm5415	188	655	170	416	91	3	28	184	73	68	6	9	42	38	47	47
Gm15455|Gm15455	31	214	60	524	9	0	0	11	1	0	6	3	3	7	31	4
Zfp451|Zfp451	2350	853	1688	2530	3234	2907	2671	5480	488	517	424	594	693	644	2244	1940
Bend6|Bend6	1666	1929	1715	3702	4919	2242	4040	6006	231	299	472	1009	629	483	2751	1396
Gm38471|Gm38471	160	96	59	0	103	0	64	55	9	19	37	24	55	41	341	388
Gm32566|Gm32566	35	0	12	0	11	0	24	0	0	0	0	0	0	0	6	3
4930568A12Rik|4930568A12Rik	52	0	21	289	29	0	18	0	0	0	0	0	0	0	25	24
Ccdc115|Ccdc115	1160	614	659	2560	1621	1021	1421	0	32	43	47	99	85	51	1481	1039
Imp4|Imp4	756	406	757	1893	1751	1629	1689	10	161	171	173	249	297	154	1185	931
Gm32504|Gm32504	0	0	0	0	33	0	46	0	0	0	0	0	0	0	0	3
Ptpn18|Ptpn18	19	0	64	41	58	0	53	945	0	0	0	0	9	0	47	31
Amer3|Amer3	191	0	129	0	2056	0	2003	0	127	168	106	216	222	134	1454	1604
LOC108167618|LOC108167618	708	0	327	0	1030	110	803	0	99	94	169	226	202	145	103	166
Gm32790|Gm32790	12	0	21	0	44	0	58	0	36	50	55	80	101	85	2	11
Fam168b|Fam168b	996	1855	2024	5259	3420	6838	2618	4343	557	640	633	1222	1242	911	1868	2054
Arhgef4|Arhgef4	1315	2026	1781	2403	2713	89	2769	0	516	579	634	1203	819	476	3899	1608
1110002O04Rik|1110002O04Rik	84	229	66	0	13	0	36	0	5	0	0	3	0	0	39	24
Gm33280|Gm33280	0	0	0	0	70	0	0	0	9	10	9	14	29	13	2	0
Hs6st1|Hs6st1	1260	1052	1035	2591	2254	0	1825	5325	228	252	254	637	446	306	583	450
Plekhb2|Plekhb2	5980	6485	3756	4988	7701	4936	9072	14215	265	276	406	763	972	714	14466	10875
Neurl3|Neurl3	134	697	106	0	145	0	117	0	0	0	3	2	4	2	79	11
Arid5a|Arid5a	154	12	177	0	453	0	557	0	31	35	89	129	146	118	988	878
Dst|Dst	18403	8786	24323	28044	35695	10223	29848	8487	7238	9519	8189	14125	13441	11352	22789	22983
LOC108167617|LOC108167617	16	0	0	0	0	539	1	338	7	12	7	5	19	14	30	22
Mir6896|Mir6896	5	0	6	0	13	0	10	72	2	1	1	1	2	4	0	11
Kansl3|Kansl3	1046	3151	1444	2341	5549	496	4274	2016	659	803	1197	1533	1815	1292	5271	4574
Uggt1|Uggt1	6500	7431	5190	12210	7996	7479	7502	12846	798	948	1180	2084	1628	1193	5130	3549
Ankrd39|Ankrd39	701	0	725	877	1910	0	2372	0	31	34	34	50	115	60	1671	1707
Sema4c|Sema4c	332	258	182	140	4322	0	4413	0	63	54	18	48	140	83	642	286
Fam178b|Fam178b	53	0	15	0	8	0	62	0	0	0	0	0	0	0	0	0
Cnnm3|Cnnm3	1961	1827	1092	1273	2744	2912	1681	826	275	302	307	432	1211	687	594	630
Ankrd23|Ankrd23	849	232	1160	170	2290	1731	3134	3014	54	61	62	91	162	119	900	876
Cox5b|Cox5b	2412	2679	1289	3926	2074	1488	1495	7932	34	31	68	137	176	139	3110	2251
4933424G06Rik|4933424G06Rik	0	0	14	0	0	0	5	0	8	15	0	0	0	0	49	33
Gm33533|Gm33533	475	217	245	901	45	0	120	0	119	181	17	25	137	92	360	302
Fer1l5|Fer1l5	145	0	163	380	549	0	522	1474	18	26	15	19	35	32	251	240
Lman2l|Lman2l	4051	2239	3287	4303	8368	9968	10389	7677	154	167	88	171	331	317	5995	5082
Cnnm4|Cnnm4	8290	4495	4227	9453	11599	7355	10894	12047	95	106	130	292	235	102	1326	1252
Actr1b|Actr1b	1917	935	1342	1731	4917	0	3843	321	1942	2088	1898	3730	2922	1447	10736	7737
Cnga3|Cnga3	0	41	4	0	0	0	61	0	0	0	2	2	0	0	54	11
Vwa3b|Vwa3b	7	0	53	148	14	0	42	0	0	0	0	0	0	0	9	0
Tmem131|Tmem131	3201	3866	2257	6216	4770	1591	3821	6193	1449	1907	1232	2281	2936	1696	1198	1918
Inpp4a|Inpp4a	9389	15423	11071	58345	14254	4292	11576	11381	1397	1505	1117	1840	2502	1800	2832	2659
4930439A04Rik|4930439A04Rik	365	0	314	264	332	0	182	0	89	90	68	66	99	87	112	105
2010300C02Rik|2010300C02Rik	882	0	454	192	777	290	937	0	762	832	76	224	308	186	401	557
LOC102637336|LOC102637336	0	0	0	0	0	0	0	0	267	213	14	17	94	48	0	16
LOC102637491|LOC102637491	29	0	17	0	53	0	50	0	43	39	0	9	9	9	7	5
Gm39628|Gm39628	132	0	110	462	378	0	132	0	342	334	41	47	115	77	117	225
Tsga10|Tsga10	548	548	391	1173	1059	1312	595	4	186	209	203	316	594	436	482	441
Lipt1|Lipt1	55	362	256	0	187	0	79	0	58	81	43	68	61	31	252	386
Mitd1|Mitd1	801	1088	765	1915	1079	300	1067	154	58	68	124	191	159	138	961	858
Mrpl30|Mrpl30	1212	1947	907	1807	1533	625	1500	2835	80	74	72	196	237	162	2048	1317
Unc50|Unc50	8386	6596	5753	16814	7355	8630	7689	23977	119	107	130	274	411	286	3411	1822
Mgat4a|Mgat4a	1853	1458	569	3915	2563	1951	1890	3076	398	494	165	307	691	455	1629	1575
Coa5|Coa5	579	0	384	206	1102	3096	1134	7740	143	121	123	247	280	181	1806	1469
4930594C11Rik|4930594C11Rik	179	0	57	107	202	0	170	0	69	75	21	41	121	74	60	149
Lonrf2|Lonrf2	742	772	896	1634	1586	2237	1579	3660	552	742	640	1276	1773	1209	4073	5172
Rev1|Rev1	1602	2078	1888	3838	4129	2454	4860	88	352	462	358	565	779	545	905	754
Txndc9|Txndc9	2105	2407	1658	4834	2849	991	2917	9913	102	107	118	224	243	195	2097	2049
Eif5b|Eif5b	5782	4384	4537	10291	9007	970	6437	11757	535	588	479	853	971	729	3446	3446
Gm34448|Gm34448	0	0	21	0	14	0	27	0	30	31	32	35	64	38	17	10
Nms|Nms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	49
Aff3|Aff3	411	21	376	1186	664	158	482	0	455	529	603	999	1184	721	570	524
Gm16150|Gm16150	259	0	442	1358	252	1129	257	0	168	166	263	335	507	332	186	166
LOC108167619|LOC108167619	619	877	799	66	839	0	523	2	573	489	553	507	1013	752	198	177
Pdcl3|Pdcl3	1369	1388	821	2382	1615	3197	1210	4079	35	34	46	87	101	75	2018	1785
Npas2|Npas2	94	0	45	553	223	0	166	0	480	388	111	234	291	173	146	107
Chst10|Chst10	6753	3611	4409	2388	12722	10294	13170	5828	151	137	156	328	368	315	3056	2319
Cnot11|Cnot11	435	626	256	1438	717	0	732	0	91	99	142	260	333	203	278	167
Tbc1d8|Tbc1d8	1227	1079	1002	1935	4915	0	4283	0	257	282	166	249	812	626	1500	903
Rpl31|Rpl31	1189	1698	564	6268	1041	2606	1030	2343	18	13	13	30	54	35	808	559
Rnf149|Rnf149	1530	1534	1059	6037	1406	1431	900	3405	165	259	185	352	271	214	733	847
Snord89|Snord89	2	45	19	105	8	0	3	186	5	4	2	7	7	5	7	3
Creg2|Creg2	3638	2058	2874	4769	2667	0	2954	2539	568	912	227	768	453	293	2398	1505
D930019O06Rik|D930019O06Rik	71	0	99	67	53	2648	166	1175	28	47	17	24	66	35	59	38
Il1r2|Il1r2	59	0	115	687	16	0	109	0	28	14	62	55	47	26	20	0
Gm16894|Gm16894	372	380	401	667	427	419	565	1022	30	24	54	90	49	43	224	185
Slc9a2|Slc9a2	371	0	98	0	274	5496	462	0	6	12	4	10	64	41	58	13
Il1r1|Il1r1	351	535	156	0	362	0	528	0	16	17	72	123	27	36	26	96
Gm37915|Gm37915	5	0	11	418	3	0	20	0	5	3	9	6	13	7	19	29
Mfsd9|Mfsd9	357	0	501	804	403	0	732	2880	14	11	18	56	44	30	672	725
Gm28175|Gm28175	53	0	85	1210	31	0	55	0	321	303	84	107	3113	2301	52	44
Map4k4|Map4k4	2658	1375	2231	2752	1897	1112	1368	1334	523	529	645	943	1544	989	324	347
Pou3f3|Pou3f3	276	0	197	0	261	395	249	1118	67	74	27	69	496	259	139	111
2900092D14Rik|2900092D14Rik	545	643	840	5	430	3	541	2898	72	84	43	76	719	462	125	41
Gm42411|Gm42411	158	134	30	0	58	0	103	225	43	37	11	22	150	66	22	61
Pantr1|Pantr1	112	115	153	181	135	0	82	0	29	25	9	33	174	113	137	103
Pantr2|Pantr2	94	0	141	38	165	0	194	0	22	21	0	15	146	113	54	50
Mrps9|Mrps9	1197	725	724	2058	1509	1592	920	8	134	148	195	298	268	220	952	1002
Gpr45|Gpr45	207	7	232	95	196	382	527	2767	86	107	91	157	222	149	602	483
Gm39633|Gm39633	65	12	20	755	7	0	24	0	0	6	0	3	12	8	89	54
Fhl2|Fhl2	59	0	44	0	105	0	143	0	201	228	39	87	82	55	219	126
Tgfbrap1|Tgfbrap1	593	618	564	2033	1499	373	1905	0	308	282	295	455	708	438	1184	777
LOC108167597|LOC108167597	47	280	54	0	49	1495	156	0	21	16	23	42	41	27	43	0
Gm28782|Gm28782	11	0	0	0	23	0	21	0	12	13	11	24	25	30	0	0
AI597479|AI597479	424	1990	450	1596	1258	0	1457	0	131	135	147	258	366	241	2579	1834
Nck2|Nck2	23	31	28	9	71	0	54	0	59	56	31	61	65	47	91	188
1500015O10Rik|1500015O10Rik	556	362	468	0	395	0	619	0	4	7	8	18	14	8	0	0
LOC102632770|LOC102632770	51	11	29	5	23	5	17	6	1	2	1	2	7	5	65	45
Mettl21c|Mettl21c	31	0	27	0	0	0	33	0	21	23	42	68	63	59	6	12
Ccdc168|Ccdc168	9	0	23	623	101	3	40	0	4	6	13	12	23	19	125	70
Uxs1|Uxs1	4870	4576	3770	3487	7320	3413	7014	3890	119	124	129	189	228	150	782	792
Tex30|Tex30	370	169	290	958	424	385	349	0	8	4	5	13	26	12	381	390
Tpp2|Tpp2	2114	2797	2187	3708	4237	1057	2723	205	324	424	439	643	740	543	2543	2887
Ercc5|Ercc5	1778	1350	1422	1197	2011	408	1776	209	254	343	251	379	616	508	2098	1427
Bivm|Bivm	605	0	637	546	1049	956	1251	2189	169	208	222	412	322	258	1357	1226
Kdelc1|Kdelc1	2071	1302	2084	14269	2921	2879	2140	6296	78	115	181	354	233	171	2520	2664
Col3a1|Col3a1	211	0	270	0	432	0	1102	0	0	0	0	0	0	0	0	0
Col5a2|Col5a2	112	0	30	0	364	0	315	0	23	31	6	13	0	4	128	91
Gulp1|Gulp1	217	702	183	0	88	0	126	0	0	2	0	0	57	36	124	114
Gm30900|Gm30900	0	0	17	0	22	0	16	0	3	4	13	17	14	10	10	0
Slc40a1|Slc40a1	204	1052	289	0	384	0	1006	0	5	7	11	16	8	13	307	156
Wdr75|Wdr75	1531	2384	1457	3235	2380	869	1586	4709	207	239	250	465	607	403	2110	1912
Dnah7b|Dnah7b	712	1095	897	346	774	1415	1107	312	22	39	44	48	424	324	697	786
Gm31046|Gm31046	0	0	30	284	10	0	0	0	0	0	0	0	6	3	0	0
Dnah7c|Dnah7c	64	53	203	69	135	0	120	445	81	75	0	0	60	53	94	109
Slc39a10|Slc39a10	9760	8476	6333	8626	9253	6875	10182	14777	1768	1874	288	809	977	639	2532	2376
Nabp1|Nabp1	407	259	394	4466	599	110	533	0	110	114	68	143	416	270	1864	1247
9330175M20Rik|9330175M20Rik	7	0	17	0	12	0	53	0	17	19	14	22	24	18	13	10
Sdpr|Sdpr	502	555	367	187	589	751	659	0	14	20	15	23	17	17	349	444
Gm31812|Gm31812	92	0	95	0	68	0	49	0	7	11	3	4	3	5	15	12
Myo1b|Myo1b	578	812	734	2621	421	0	427	0	352	472	295	424	349	247	54	109
Stat1|Stat1	1134	618	958	0	1458	741	1789	0	107	129	142	254	207	159	9585	5348
LOC108167624|LOC108167624	214	53	194	0	120	0	160	0	0	0	2	0	0	0	7	0
Tmeff2|Tmeff2	18423	14305	15841	21835	20911	7186	29041	33144	467	561	417	878	761	461	7097	6927
Gls|Gls	8556	13684	6658	18357	11328	768	7238	6357	3725	4454	2408	4182	9542	7264	4788	5302
Nab1|Nab1	1055	443	540	448	1667	0	891	0	121	149	108	196	255	210	104	152
Tmem194b|Tmem194b	1011	97	607	613	686	112	972	0	77	97	165	278	234	164	700	235
Mfsd6|Mfsd6	5280	5324	5650	11508	9701	6951	9087	17454	937	1103	901	1929	1603	1176	5637	6286
Inpp1|Inpp1	2678	2333	1645	2465	4359	1549	3345	0	137	169	231	405	441	328	2473	2119
Mstn|Mstn	0	0	31	0	68	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik|1700019A02Rik	55	0	13	69	97	0	80	196	8	16	13	12	27	22	5	13
1700019D03Rik|1700019D03Rik	1320	1318	1074	1275	2238	257	1755	435	35	49	112	177	98	69	1206	595
Hibch|Hibch	676	978	249	492	651	0	577	41	29	36	68	112	105	93	733	688
Osgepl1|Osgepl1	1142	541	1007	673	1871	78	1508	3105	90	66	100	190	240	159	1166	1157
Asnsd1|Asnsd1	276	788	356	0	428	0	914	301	41	47	50	90	114	85	1347	802
Pms1|Pms1	1533	236	793	994	1830	0	1384	218	27	30	42	46	50	47	223	454
Ormdl1|Ormdl1	2298	2249	1387	215	2214	0	2601	2355	12	15	11	15	20	16	1578	1168
Dnah7a|Dnah7a	181	9	69	105	131	0	116	52	10	9	0	0	19	0	180	211
Gm32311|Gm32311	82	115	51	32	63	0	98	141	3	4	0	0	10	8	186	233
Stk17b|Stk17b	400	0	101	0	672	0	336	0	4	12	0	12	11	7	201	130
Ccdc150|Ccdc150	81	87	80	61	44	98	24	0	15	15	22	26	13	18	30	8
Gtf3c3|Gtf3c3	1462	1610	1283	3627	1709	480	1579	6881	195	262	210	357	358	282	1322	1250
Hecw2|Hecw2	1536	2988	1729	1096	3170	139	1792	1530	1222	1217	793	1404	1271	842	1423	1329
Mir7681|Mir7681	9	0	10	0	10	0	6	0	2	1	0	2	2	1	8	5
Pgap1|Pgap1	4162	3841	2893	7400	5259	5050	5037	20422	403	463	204	383	1103	768	2274	3334
Ankrd44|Ankrd44	595	305	825	883	1643	2718	1557	367	72	76	201	293	257	204	529	356
4930444A19Rik|4930444A19Rik	56	0	45	0	58	0	50	0	9	5	16	13	31	42	15	15
Coq10b|Coq10b	447	364	434	387	669	2136	438	2474	20	32	12	15	64	33	1165	1185
Mob4|Mob4	1836	2785	1415	5726	3620	6348	2920	5378	99	100	87	178	316	222	3031	3555
Rftn2|Rftn2	577	605	434	9	894	0	547	0	10	14	13	21	17	18	135	58
Gm10561|Gm10561	9	0	107	0	49	0	46	0	0	0	0	0	0	0	0	13
Hspd1|Hspd1	2973	2730	2251	5128	4053	4410	3613	9137	95	112	148	266	277	230	9731	8176
Hspe1|Hspe1	960	756	625	1397	898	0	651	1130	0	5	23	46	52	58	2078	1906
Mars2|Mars2	216	124	176	0	831	0	513	261	75	71	78	139	120	78	569	209
Sf3b1|Sf3b1	23232	16921	22076	60667	36464	18482	30717	22800	3273	4549	3129	5504	6716	4907	24491	26290
BC055402|BC055402	0	0	45	0	15	0	24	0	0	2	0	0	0	0	0	0
Satb2|Satb2	0	0	0	2	78	0	28	0	839	904	110	379	177	109	50	0
9130024F11Rik|9130024F11Rik	1	87	0	45	17	0	15	0	236	219	28	80	43	11	4	0
1700066M21Rik|1700066M21Rik	1601	0	907	1380	1603	0	1653	2057	86	97	62	108	186	123	448	252
Tyw5|Tyw5	989	954	907	2647	1445	0	1218	154	86	93	99	192	292	190	1323	1920
9430016H08Rik|9430016H08Rik	1213	549	487	1150	915	1316	731	295	30	34	26	60	61	32	681	629
Kctd18|Kctd18	537	923	537	1504	912	179	1021	1791	107	101	133	221	273	322	996	1046
Aox1|Aox1	77	0	254	1228	369	0	318	132	3	5	0	8	29	32	36	0
Sgol2a|Sgol2a	76	470	99	169	101	0	168	0	8	5	12	27	17	17	51	37
Gm39642|Gm39642	113	0	174	0	140	0	77	0	34	31	33	30	32	23	12	7
Plcl1|Plcl1	341	1234	722	773	712	0	1033	0	85	63	84	160	81	77	531	423
Gm6644|Gm6644	65	49	179	30	122	383	78	6	3	1	1	1	1	2	26	19
Aox4|Aox4	0	0	0	0	0	0	0	0	24	45	0	12	15	10	0	0
Spats2l|Spats2l	349	593	528	964	483	2659	726	0	95	111	92	159	113	115	2704	1916
Bzw1|Bzw1	3317	2218	1921	6787	4529	521	3580	2728	157	173	133	271	323	238	6246	6918
Clk1|Clk1	14663	13833	14549	32221	18813	8429	16440	9452	1112	1311	1094	1525	4186	2894	12062	15033
Gm20257|Gm20257	224	121	92	26	334	0	372	0	7	10	2	8	71	61	163	70
Ndufb3|Ndufb3	932	1652	432	1442	894	773	628	1993	28	25	35	71	145	104	1803	1533
Als2cr12|Als2cr12	6	0	99	0	0	0	31	0	10	10	0	3	18	26	17	23
Casp8|Casp8	40	0	44	0	162	0	137	0	0	0	0	0	0	0	0	0
Cflar|Cflar	206	59	541	510	780	62	773	142	22	26	4	13	53	43	460	489
Trak2|Trak2	1424	270	1356	1527	3095	0	2831	0	604	731	1078	1567	1280	889	2668	2520
Als2cr11b|Als2cr11b	0	0	60	0	76	0	39	0	31	30	32	45	38	36	26	27
Stradb|Stradb	1269	939	860	924	1750	0	1479	5398	202	293	244	444	433	278	1889	1439
Ppil3|Ppil3	391	352	447	455	472	461	599	1491	45	39	70	102	168	100	685	591
Nif3l1|Nif3l1	585	11	359	72	859	2208	945	1473	31	28	47	104	86	69	1460	1268
