	PBN1-ML02-D	PBN1-ML02-G	PBN1-ML04-D	PBN1-ML04-G	PBN2-FM01-D	PBN2-FM01-G	PBN2-FM02-D	PBN2-FM02-G	SRR1647854	SRR1647855	SRR1647856	SRR1647857	SRR1647858	SRR1647859	SRR6294443	SRR6294444
Tmc8|Tmc8	19	0	81	0	10	0	11	0	7	7	0	4	12	0	35	0
Tk1|Tk1	13	65	158	130	42	0	68	0	6	7	14	30	22	8	111	100
Afmid|Afmid	180	239	185	885	165	0	259	0	16	18	33	70	30	29	567	384
Syngr2|Syngr2	756	424	848	0	1209	0	2492	1674	7	10	0	2	25	22	276	159
Tnrc6c|Tnrc6c	3581	3145	1778	5926	10260	1433	9918	854	1302	1116	1648	2598	3112	1766	3054	2339
Tha1|Tha1	256	0	125	0	265	0	473	0	33	33	88	136	113	64	557	493
Gm11725|Gm11725	378	521	140	0	397	1335	250	0	15	14	10	25	15	10	55	56
Dnah17|Dnah17	0	0	31	9	147	0	141	0	44	37	36	50	77	45	140	131
Pgs1|Pgs1	800	203	855	736	1522	676	1653	0	108	122	130	267	253	185	2209	894
Jmjd6|Jmjd6	2124	1058	1542	4678	2851	1867	2691	0	106	90	157	269	419	246	2713	1759
Mettl23|Mettl23	1148	258	492	1381	1302	0	1039	0	27	22	27	55	107	56	405	414
Mfsd11|Mfsd11	6734	5105	4509	13220	5449	6924	6548	9302	106	140	245	364	419	237	5068	4446
Srsf2|Srsf2	35738	43153	35417	138255	40365	17549	36684	46078	1028	1106	2527	3812	7345	4403	2307	3174
Cyth1|Cyth1	1211	1127	1776	1513	10296	0	12601	1011	1130	1153	1620	2429	2177	1369	16879	16030
Usp36|Usp36	1743	2520	1721	2557	4973	2876	4571	159	414	513	1049	1644	1386	797	5149	3384
Lgals3bp|Lgals3bp	1537	1660	1582	179	2265	10155	3010	2978	31	28	21	57	38	13	6012	3361
C1qtnf1|C1qtnf1	49	0	70	200	75	0	154	0	8	10	27	85	5	4	175	125
Engase|Engase	52	0	117	427	98	0	93	0	88	59	92	123	133	76	1175	603
BC100451|BC100451	36	52	8	0	4	0	13	0	23	36	14	31	125	62	40	45
Timp2|Timp2	9573	10617	6477	11567	6100	6595	5578	18271	468	576	225	958	2463	1547	4494	5590
Cant1|Cant1	2161	1006	1322	722	6602	5925	8560	0	168	157	274	534	795	428	3427	2053
Cbx8|Cbx8	405	387	418	744	677	1218	621	0	27	27	79	114	117	84	637	204
Cbx4|Cbx4	432	240	324	17	818	0	762	0	98	111	235	389	315	212	1587	932
Tbc1d16|Tbc1d16	296	393	399	95	2149	0	1559	67	20	28	75	149	193	106	911	819
Gm11753|Gm11753	69	140	29	0	44	0	117	0	12	16	37	26	62	54	36	0
Ccdc40|Ccdc40	87	74	116	0	25	0	361	131	13	15	16	22	35	26	540	414
Gm35932|Gm35932	62	172	13	0	31	0	14	0	0	0	10	0	15	20	117	89
LOC108167941|LOC108167941	52	225	59	507	101	0	141	0	9	10	9	21	12	11	48	78
Rbfox3|Rbfox3	8921	3298	6281	9834	19543	1084	12704	3295	1569	1672	859	1820	2175	1229	1801	972
LOC108167940|LOC108167940	90	175	8	255	6	0	88	0	39	23	25	29	57	37	79	21
Eif4a3|Eif4a3	1731	828	997	2039	1506	391	1433	1857	63	57	100	129	177	131	2504	2209
Card14|Card14	125	0	0	0	0	0	131	0	0	0	0	0	0	0	5	6
Slc26a11|Slc26a11	991	339	547	115	1829	478	2689	0	30	37	12	27	164	124	1282	819
Sgsh|Sgsh	168	0	197	0	674	491	1091	0	8	14	0	8	11	12	362	619
Rnf213|Rnf213	261	60	477	291	455	19	478	256	77	68	86	96	227	172	3082	1399
LOC102639982|LOC102639982	192	0	70	12	115	0	90	0	19	29	20	29	46	30	138	113
Endov|Endov	431	160	231	167	1293	0	1118	263	188	185	247	423	373	227	1288	968
Gaa|Gaa	22075	18981	20616	40809	61503	52905	81405	34196	449	468	1491	3125	3852	1979	83426	66869
Nptx1|Nptx1	10746	3561	5241	5529	53336	2481	48006	2731	1829	1924	124	395	360	150	1639	845
LOC102640451|LOC102640451	148	0	60	0	340	0	209	0	209	205	22	42	233	119	8	10
Chmp6|Chmp6	592	34	540	1768	1647	0	1663	913	16	7	31	56	85	45	1941	1290
Rptor|Rptor	1343	1206	1051	2013	4913	4563	4502	0	426	435	661	1059	901	515	1953	1634
Rptoros|Rptoros	53	0	79	0	78	0	70	0	34	27	31	27	36	39	22	24
Baiap2|Baiap2	2482	937	1961	4031	6798	1602	4951	0	2392	2382	215	421	1713	988	555	553
Cep131|Cep131	229	336	206	3062	1314	0	1055	0	160	171	383	430	367	198	1427	466
Enthd2|Enthd2	632	0	477	841	1471	0	1483	0	97	82	210	252	272	174	2166	1694
1810043H04Rik|1810043H04Rik	529	294	320	1505	556	2040	568	1675	17	14	22	62	69	42	321	220
Aatk|Aatk	2933	2037	3452	3642	16292	2326	19476	429	735	715	876	1219	2793	1512	5386	4420
Mir338|Mir338	2	0	28	0	49	0	23	0	1	0	3	1	1	0	2	4
Gm9734|Gm9734	39	0	51	0	96	0	76	0	4	3	11	31	37	20	147	74
2810410L24Rik|2810410L24Rik	302	47	234	450	342	0	411	0	7	10	17	24	45	28	600	613
Gm11770|Gm11770	37	0	18	180	43	0	113	0	21	24	47	61	111	60	169	4
LOC102640779|LOC102640779	429	183	703	232	1875	0	1905	0	22	11	31	42	91	61	478	81
Bahcc1|Bahcc1	295	710	319	813	861	0	701	0	172	170	221	356	638	338	449	326
LOC105246895|LOC105246895	56	0	6	0	52	0	26	0	4	4	14	18	26	11	13	7
Slc38a10|Slc38a10	2710	2765	2489	1477	11448	2800	13668	142	109	103	90	192	346	177	7799	6112
Gm11769|Gm11769	605	948	364	852	1079	0	905	1797	18	21	19	25	29	32	487	441
Faap100|Faap100	492	450	343	0	982	0	1671	1493	97	84	240	319	339	169	1428	1145
Actg1|Actg1	1721	2645	908	1646	2403	708	3170	4096	14	13	29	37	29	24	10141	8415
Mir6935|Mir6935	8	0	3	0	24	0	14	0	5	4	14	17	10	7	16	8
Pde6g|Pde6g	32	0	19	0	40	0	16	0	6	6	8	11	34	33	21	16
Nploc4|Nploc4	1297	689	879	3019	1528	263	1108	279	335	367	492	690	1020	567	2135	1422
Slc25a10|Slc25a10	8	0	380	0	518	0	949	0	50	48	255	355	259	102	2068	1574
Mrpl12|Mrpl12	997	814	662	1576	1564	1412	1758	1940	27	22	74	152	148	107	2490	1896
Ppp1r27|Ppp1r27	0	0	0	0	41	0	20	0	0	0	0	0	2	3	0	0
Fam195b|Fam195b	2166	2238	1361	3230	2837	2193	2785	1097	61	52	133	217	395	220	5790	2460
Ccdc137|Ccdc137	636	184	823	3006	1573	399	1428	1948	114	142	180	239	324	187	1858	1443
Hgs|Hgs	490	687	1271	5157	3178	0	3017	0	163	169	276	359	495	295	6173	5473
Oxld1|Oxld1	193	409	161	309	329	0	222	682	9	4	21	40	19	17	357	163
Arl16|Arl16	1534	1202	1092	4546	1996	1990	1781	3345	57	85	92	182	137	77	1979	1412
Arhgdia|Arhgdia	1347	214	960	90	3391	0	3911	0	428	459	507	999	1310	698	13853	9703
LOC108167942|LOC108167942	780	626	468	2829	272	0	196	81	37	55	63	94	244	132	163	206
Alyref|Alyref	45	18	32	10	104	0	60	0	16	10	14	20	44	28	92	70
Npb|Npb	0	0	35	222	95	1206	95	0	4	0	0	5	14	7	35	10
Anapc11|Anapc11	1128	863	691	1869	1443	907	1526	299	20	23	51	99	143	88	1985	1369
Gm39491|Gm39491	405	0	307	60	312	1	284	218	32	35	45	85	190	99	98	40
P4hb|P4hb	19043	12780	12961	20959	23643	28733	28204	45864	176	198	180	446	406	287	15882	13749
Pcyt2|Pcyt2	2393	1286	3660	5124	10979	803	10451	1605	212	196	401	496	902	561	10859	11679
Pycr1|Pycr1	26	265	16	496	58	0	150	0	18	19	38	55	30	12	1020	834
Myadml2|Myadml2	430	0	419	4	926	0	636	1590	19	14	75	166	63	53	636	488
Aspscr1|Aspscr1	634	676	726	1936	1362	0	2338	0	83	78	195	320	350	199	4337	2295
Mafg|Mafg	2950	2832	4750	3875	6798	4368	5007	0	1044	1251	1922	2706	3987	2198	5054	5024
Sirt7|Sirt7	3414	4000	3778	20004	5367	1381	5597	4417	744	729	805	1177	1098	695	5255	2403
Mir6936|Mir6936	14	11	17	118	62	0	43	35	1	0	0	0	0	1	4	1
Hmga1-rs1|Hmga1-rs1	11	0	25	0	13	0	6	0	4	0	3	8	26	6	15	6
Dcxr|Dcxr	178	0	176	0	237	910	173	0	0	0	0	0	16	8	221	211
Rac3|Rac3	406	1153	333	2506	464	2921	647	0	34	31	47	83	125	65	1248	719
Stra13|Stra13	656	531	398	261	1626	941	969	722	59	56	93	157	164	94	1081	714
Lrrc45|Lrrc45	2312	1224	2381	13392	7000	0	6509	0	1138	1114	1883	2178	1809	1334	17431	14714
Fasn|Fasn	704	871	618	1540	2174	3917	2856	0	500	534	412	699	1284	759	7551	5919
Ccdc57|Ccdc57	588	48	560	289	592	0	670	0	326	382	277	424	541	304	1612	1463
Uts2r|Uts2r	152	0	96	496	102	0	63	1931	0	0	2	0	101	44	261	183
Gm30062|Gm30062	293	401	201	4	302	0	284	0	90	119	137	197	160	134	227	122
Slc16a3|Slc16a3	63	0	58	0	274	0	449	0	9	16	10	28	27	11	1014	980
Csnk1d|Csnk1d	1389	1278	1272	1315	4788	0	5029	2219	401	476	428	818	1119	689	5302	3931
Rfng|Rfng	2712	801	2582	2406	9063	1876	9038	0	273	200	332	448	1055	682	1443	1196
Dus1l|Dus1l	1364	1624	1114	2167	2438	766	2137	0	220	244	316	446	464	293	4154	3090
Gps1|Gps1	2202	1160	1204	8994	3799	6792	3427	4372	12	12	12	22	19	8	4598	3767
Hexdc|Hexdc	1233	1174	863	2684	2041	2459	1669	0	257	256	281	376	555	413	2513	2398
BC017643|BC017643	2069	1219	1868	4031	3539	0	3584	2379	115	125	197	260	402	275	2237	2507
Ogfod3|Ogfod3	1832	1045	1045	3216	1421	3315	1792	1540	15	18	54	112	127	53	892	872
Narf|Narf	1712	2396	2400	3539	4068	2635	3432	363	228	324	479	728	665	385	5386	5085
Foxk2|Foxk2	1072	292	751	1242	1489	201	506	356	319	361	279	563	673	472	808	954
Rab40b|Rab40b	151	0	352	0	391	1272	224	0	105	111	38	47	79	65	530	421
Wdr45b|Wdr45b	1597	1295	1388	3172	2007	2449	2144	149	91	80	100	135	281	198	2490	2638
Fn3krp|Fn3krp	54	0	92	159	186	6	42	18	117	116	193	329	353	176	149	109
Fn3k|Fn3k	847	0	637	1332	759	1160	557	0	294	335	792	1120	533	352	874	745
Metrnl|Metrnl	323	228	70	0	208	0	220	0	23	25	21	34	73	44	277	106
Tbcd|Tbcd	2054	2220	2016	4580	3103	465	2927	478	553	677	1662	2021	1247	908	4100	2733
B3gntl1|B3gntl1	603	206	560	623	848	277	1220	104	161	220	209	234	426	259	839	603
Zfp750|Zfp750	145	0	34	0	333	0	113	0	28	29	30	36	29	37	121	244
Rab10os|Rab10os	675	525	511	1433	1140	307	1282	329	55	74	109	157	262	132	1058	542
Rab10|Rab10	2430	1283	2526	3631	7673	3741	9652	11619	241	240	191	514	593	397	4323	2000
LOC108167952|LOC108167952	12	0	6	0	22	0	14	0	4	0	4	7	0	3	0	0
Asxl2|Asxl2	4550	3562	5510	9098	6356	8003	4642	3322	458	628	672	1185	866	577	1985	2085
I920046F24Rik|I920046F24Rik	1	2	0	0	25	0	56	0	4	2	7	6	9	4	1	3
Kif3c|Kif3c	1157	0	1601	1609	3431	0	3494	0	596	740	575	1194	1304	914	6315	5106
1110002L01Rik|1110002L01Rik	543	441	394	0	130	0	136	0	0	0	11	16	23	10	495	352
Dtnb|Dtnb	843	738	905	1863	3070	32	2867	1696	512	545	483	739	1371	741	1711	1198
Pomc|Pomc	45	314	46	577	14	0	67	499	13	4	13	30	42	25	185	178
Dnmt3a|Dnmt3a	7056	9339	9413	19057	20897	4634	17285	7979	1426	1522	1520	2091	2716	1958	5573	4440
