gene_id,PBN1-ML01-D,PBN1-ML01-G,PBN1-ML02-D,PBN1-ML02-G,PBN1-ML03-D,PBN1-ML03-G,PBN1-ML04-D,PBN1-ML04-G,PBN2-FM01-D,PBN2-FM01-G,PBN2-FM02-D,PBN2-FM02-G,PBN2-FM03-D,PBN2-FM03-G,PBN2-FM04-D,PBN2-FM04-G,SRR1647854,SRR1647855,SRR1647856,SRR1647857,SRR1647858,SRR1647859,SRR6294443,SRR6294444
Gm35701|Gm35701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,7
LOC108169003|LOC108169003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B020004J07Rik|B020004J07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
C130073F10Rik|C130073F10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12800|Gm12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12794|Gm12794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12789|Gm12789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insl5|Insl5,0,0,76,0,40,0,20,218,6,0,40,0,32,0,17,0,11,12,16,16,32,32,36,15
4921539E11Rik|4921539E11Rik,0,0,0,0,9,0,7,0,45,0,0,0,0,0,0,2323,6,0,0,5,10,2,0,0
Gm12718|Gm12718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8b|C8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16
Gm40217|Gm40217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29922|Gm29922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30266|Gm30266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gm30199|Gm30199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30126|Gm30126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30047|Gm30047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12724|Gm12724,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30487|Gm30487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bsnd|Bsnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
Tmem61|Tmem61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexm|Lexm,0,0,0,0,0,0,15,0,34,0,12,0,14,0,14,0,3,6,3,7,4,4,24,38
Gm31065|Gm31065,0,0,0,0,28,0,0,0,0,0,16,0,14,0,0,0,0,0,0,0,0,0,0,4
Gm31125|Gm31125,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,0,2,8,7
Cdcp2|Cdcp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ldlrad1|Ldlrad1,0,0,0,258,32,0,23,0,5,0,0,0,54,0,19,0,3,0,4,7,0,0,9,4
Dio1|Dio1,0,0,0,98,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Glis1|Glis1,0,0,34,330,0,0,12,0,6,0,44,0,13,0,50,0,16,18,8,20,30,10,8,0
LOC108168971|LOC108168971,0,0,0,0,8,0,0,0,0,0,20,0,22,0,0,0,0,5,0,0,0,0,4,3
